Feature ID	2M-Total	4M-Total	6m-Total	2M-HS-Total	4M-HS-Total	6M-HS-Total
CGI_10000001	25	26	35	56	10	35
CGI_10000002	56	16	36	34	19	29
CGI_10000003	0	19	25	6	79	8
CGI_10000004	0	2	1	5	0	2
CGI_10000005	0	0	0	0	0	0
CGI_10000009	93	68	58	1384	1287	816
CGI_10000010	185	195	254	762	774	1326
CGI_10000011	31	2	10	131	19	17
CGI_10000012	0	0	0	0	0	0
CGI_10000013	95	58	66	105	71	48
CGI_10000014	222	97	197	1111	3200	3908
CGI_10000015	83	60	51	70	26	30
CGI_10000016	47	36	4	49	73	4
CGI_10000017	2	2	5	2	0	3
CGI_10000018	19	12	10	16	8	1
CGI_10000019	17	10	19	51	34	9
CGI_10000021	1	0	1	1	1	0
CGI_10000024	0	0	0	0	0	0
CGI_10000025	0	1	0	0	0	0
CGI_10000026	8	42	4	5	27	11
CGI_10000027	0	0	0	0	0	0
CGI_10000028	14	2	0	36	6	11
CGI_10000029	0	0	0	0	1	0
CGI_10000030	3	1	14	4	0	7
CGI_10000031	9	16	4	70	29	40
CGI_10000032	486	328	351	361	105	185
CGI_10000033	4026	3559	6738	4037	7564	9617
CGI_10000034	68	42	40	22	5	5
CGI_10000035	0	0	0	5	11	3
CGI_10000036	0	1	1	1	3	0
CGI_10000037	1	0	0	0	0	1
CGI_10000038	1665	771	731	118	43	43
CGI_10000039	62	26	9	160	120	22
CGI_10000040	0	0	0	0	0	0
CGI_10000041	912	157	517	872	187	310
CGI_10000042	520	426	817	777	8975	4884
CGI_10000043	8	10	3	15	5	0
CGI_10000044	101	77	65	157	113	75
CGI_10000045	100	63	49	102	70	46
CGI_10000046	1	0	0	0	0	0
CGI_10000047	0	0	0	0	0	0
CGI_10000048	635	919	177	1752	996	285
CGI_10000049	2	9	3	0	12	4
CGI_10000050	585	406	429	602	175	246
CGI_10000051	13	13	13	42	16	7
CGI_10000052	502	278	132	177	19	8
CGI_10000053	56	41	55	87	26	43
CGI_10000054	2	10	2	2	0	0
CGI_10000055	35	25	49	47	2	9
CGI_10000056	1	2	5	1	3	3
CGI_10000057	55	47	46	142	47	25
CGI_10000058	8	4	0	9	1	0
CGI_10000059	0	2	0	3	0	2
CGI_10000060	1	3	0	2	21	3
CGI_10000061	192	251	72	240	77	44
CGI_10000062	40	21	3	43	7	0
CGI_10000063	187	85	130	187	58	65
CGI_10000064	9	8	1	5	0	4
CGI_10000066	324	327	627	408	221	363
CGI_10000067	5	1	15	6	60	16
CGI_10000068	96	223	225	414	3510	3169
CGI_10000069	0	0	0	0	0	0
CGI_10000070	9	10	1	23	6	3
CGI_10000071	71	20	25	85	30	23
CGI_10000072	32	26	22	56	10	12
CGI_10000073	10	24	11	27	45	157
CGI_10000074	15	16	5	51	30	9
CGI_10000075	10	3	7	6	12	7
CGI_10000076	24	2	16	67	7	15
CGI_10000077	8442	6808	7591	6875	8125	4860
CGI_10000078	2	4	3	2	1	0
CGI_10000079	215	182	250	748	737	1299
CGI_10000080	60	10	44	90	13	15
CGI_10000081	1	0	16	1	0	3
CGI_10000082	429	526	327	476	157	114
CGI_10000083	6	16	15	15	6	2
CGI_10000084	5	0	0	4	0	1
CGI_10000085	1872	1467	1836	1486	1881	1626
CGI_10000086	37	14	0	28	1	0
CGI_10000087	87	43	100	214	78	95
CGI_10000088	7	2	9	9	0	6
CGI_10000090	71	19	16	143	26	54
CGI_10000091	354	339	175	410	212	160
CGI_10000092	0	0	1	1	0	0
CGI_10000093	516	366	298	403	194	182
CGI_10000094	2	0	1	3	0	3
CGI_10000095	1	2	6	0	0	0
CGI_10000096	1128	1450	1074	2106	806	463
CGI_10000097	177	154	275	304	45	16
CGI_10000098	46	104	44	38	36	15
CGI_10000100	3	1	2	1	4	1
CGI_10000101	54	75	23	65	15	6
CGI_10000102	10	4	2	18	10	1
CGI_10000103	0	0	0	3	2	5
CGI_10000104	181	183	234	726	779	1314
CGI_10000105	110	76	120	322	355	477
CGI_10000106	297	174	41	336	111	8
CGI_10000107	1	0	0	0	0	0
CGI_10000109	113	28	74	112	17	5
CGI_10000110	30	43	18	42	26	15
CGI_10000111	24	23	22	41	24	20
CGI_10000112	0	2	4	1	2	0
CGI_10000113	121	87	142	129	45	22
CGI_10000115	0	0	0	0	0	0
CGI_10000116	5	0	0	6	4	0
CGI_10000117	10	12	7	11	5	1
CGI_10000118	2947	2792	3312	5202	5421	14438
CGI_10000119	605	411	1854	419	996	9413
CGI_10000120	155	43	46	210	52	73
CGI_10000121	3	4	2	3	3	0
CGI_10000122	3	1	1	8	1	0
CGI_10000123	9	3	12	23	25	4
CGI_10000124	40	44	18	74	40	17
CGI_10000125	429	346	352	429	151	128
CGI_10000126	22	28	27	14	29	7
CGI_10000127	0	1	0	0	0	0
CGI_10000128	144	171	13	132	75	38
CGI_10000129	15	4	2	19	7	21
CGI_10000130	33	24	16	72	28	8
CGI_10000131	134	44	100	116	22	53
CGI_10000132	721	17	1610	313	4	1140
CGI_10000133	0	0	0	0	0	0
CGI_10000134	448	35	1671	908	418	921
CGI_10000135	31	11	8	8	5	5
CGI_10000136	114	24	65	98	30	82
CGI_10000137	0	0	1	1	0	0
CGI_10000138	14	5	6	3	2	7
CGI_10000139	129	355	127	116	112	27
CGI_10000140	1	1	0	0	0	0
CGI_10000141	0	0	0	0	0	0
CGI_10000142	219	186	247	718	801	1280
CGI_10000143	31	79	34	131	255	377
CGI_10000144	1092	1147	1303	87	37	92
CGI_10000145	74	86	47	94	57	10
CGI_10000146	0	0	0	0	0	0
CGI_10000147	6566	8553	5355	5419	8637	3205
CGI_10000148	9	9	28	7	15	55
CGI_10000149	11	4	5	10	0	0
CGI_10000150	54	100	73	237	224	981
CGI_10000151	199	181	235	703	770	1327
CGI_10000152	3512	3354	4682	14917	20147	25815
CGI_10000153	10015	4030	8750	6548	30	318
CGI_10000154	115	278	148	183	448	724
CGI_10000155	423	429	349	1276	1348	1717
CGI_10000156	134	118	82	246	120	69
CGI_10000157	17	9	3	32	13	11
CGI_10000158	0	0	0	0	0	0
CGI_10000159	0	0	0	0	0	0
CGI_10000162	0	0	0	0	0	0
CGI_10000163	30	19	35	36	32	11
CGI_10000164	0	0	0	0	0	0
CGI_10000165	155	101	77	41	17	17
CGI_10000166	205	184	87	55	8	7
CGI_10000167	140	44	20	6	0	3
CGI_10000168	1323	836	306	334	41	37
CGI_10000169	0	1	1	1	0	0
CGI_10000170	12	4	5	34	21	22
CGI_10000171	32	17	18	52	21	33
CGI_10000172	0	0	0	0	0	0
CGI_10000173	1	0	0	3	0	0
CGI_10000174	77	23	63	28	21	31
CGI_10000175	35	15	14	27	7	2
CGI_10000176	0	1	1	1	0	0
CGI_10000178	0	0	0	0	0	0
CGI_10000180	2	4	0	0	0	0
CGI_10000181	0	2	0	0	2	0
CGI_10000183	13	7	6	38	12	27
CGI_10000184	1	0	1	27	12	74
CGI_10000185	3	0	0	33	52	196
CGI_10000186	258	7	59	19	160	54
CGI_10000187	48	52	77	103	137	80
CGI_10000188	1	2	3	0	1	3
CGI_10000189	0	0	1	1	0	1
CGI_10000190	10	1	9	3	2	6
CGI_10000191	27	13	11	36	23	20
CGI_10000192	130	32	98	123	50	90
CGI_10000194	9694	8444	12974	5879	9038	10563
CGI_10000195	57	37	20	43	9	4
CGI_10000196	12	4	8	9	7	7
CGI_10000197	8	6	4	4	5	1
CGI_10000198	4	7	9	12	19	35
