"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CGI_10000009" 736.886209915701 -4.37335048366909 0.362250205484425 -12.0727343075506 1.47161907036768e-33 2.08420924761863e-29
"CGI_10000010" 769.143993189777 -2.6045006324571 0.527519775812714 -4.93725686102387 7.92290897345832e-07 3.55524128608561e-05
"CGI_10000014" 2158.70151550375 -4.11457029548737 0.597295102037033 -6.88867241913573 5.63154499293397e-12 1.05684321744961e-09
"CGI_10000031" 31.0157398867365 -2.42487157993198 0.555610073665319 -4.36434055980173 1.27506806469601e-05 0.000350759633070011
"CGI_10000034" 24.843960742004 1.64653651049366 0.518699467178704 3.17435550772678 0.00150169637794606 0.0142004163739525
"CGI_10000038" 442.280996156497 3.27303244378732 0.370725045990867 8.82873299007685 1.05868118684071e-18 8.73700710376364e-16
"CGI_10000039" 64.2870261580259 -1.80826676180282 0.590338723823298 -3.06310036734787 0.00219056575152097 0.0184470833880402
"CGI_10000042" 3923.78207386192 -3.06063519702507 0.665118493001023 -4.60163900001553 4.19179270337596e-06 0.000139901081475173
"CGI_10000044" 99.323294499693 -1.00815500930002 0.352774935230826 -2.85778525801548 0.00426608991321176 0.0297332546887803
"CGI_10000052" 141.474372787837 1.70704109128788 0.616901934553686 2.76711904384428 0.00565540997533189 0.0370016661304958
"CGI_10000068" 1925.42319776799 -3.55666411850663 0.67120420984207 -5.29892999232452 1.16483282305669e-07 7.00288236272096e-06
"CGI_10000073" 69.0565082912203 -2.53666432311418 0.690419700301434 -3.67409029899738 0.000238698312881712 0.00353491563513896
"CGI_10000079" 751.436825676061 -2.56491806837423 0.522360996759314 -4.91024039751584 9.09648078318233e-07 3.94166360619232e-05
"CGI_10000104" 757.140683054827 -2.66963789755066 0.528147155000298 -5.0547236168472 4.31014483656803e-07 2.14986235309695e-05
"CGI_10000105" 309.700067775698 -2.39403322421373 0.505022019436778 -4.74045315268363 2.13240754597532e-06 8.16793067610295e-05
"CGI_10000118" 7619.75486803633 -2.01443826754083 0.579817536092651 -3.4742624052318 0.000512259806234812 0.0063441944351973
"CGI_10000142" 757.167730237443 -2.5712873281268 0.519798472185183 -4.94670043433825 7.54820013466195e-07 3.4433447649478e-05
"CGI_10000143" 211.794879782682 -2.71913574470582 0.609664979961694 -4.46004909922276 8.19408787487273e-06 0.00024362954910125
"CGI_10000144" 533.125486876439 3.03001023249986 0.491230519708146 6.16820435810884 6.906984260779e-10 8.30484809527838e-08
"CGI_10000150" 418.983714801554 -2.89364099091804 0.64945515808355 -4.45549004408059 8.37017804046282e-06 0.000247506437300722
"CGI_10000151" 758.437058631885 -2.63732430566625 0.529991401205155 -4.9761643295895 6.48565931078842e-07 3.03428533846279e-05
"CGI_10000152" 16029.3797478109 -2.81891318057626 0.515473160884138 -5.46859350686906 4.53620737368643e-08 3.10790117270381e-06
"CGI_10000154" 426.198378730669 -1.83319179651846 0.62322601107156 -2.9414558506095 0.00326673405910066 0.0245600345102509
"CGI_10000155" 1155.43879036259 -2.38784497477719 0.46471611192614 -5.13828746948353 2.77253525189607e-07 1.47187573197149e-05
"CGI_10000165" 57.1222916261774 1.5386907975941 0.404779162605161 3.80130930577324 0.000143933491147984 0.00239748299567229
"CGI_10000166" 72.0939115320227 2.23529186869518 0.524491838800392 4.26182392810477 2.02765174907943e-05 0.000513445539139276
"CGI_10000167" 26.2498737097297 2.95568168555627 0.687971940832562 4.29622417736891 1.73731895922306e-05 0.000449968088782509
"CGI_10000168" 368.509348546243 2.06318129095092 0.55582588501483 3.71192012926111 0.00020569290044484 0.00316756598852969
"CGI_10000170" 18.25136647664 -2.13018167262416 0.577955865541877 -3.68571685076153 0.000228059798678146 0.00340794543604973
